County,Date,Acres (of whole parcel),Parcel #,Starting Address,HWA,EHS,DBH,Tag #,Lat,Long,Notes
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,5,7201,43.04881,-86.2411,"1st tree, 50 ft NE of SE corner of tennis ct."
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,5,7202,43.0492,-86.24137,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,12,7203,43.04935,-86.2415,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,10,7204,43.04936,-86.24147,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,13,7205,43.04928,-86.24106,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,8,7206,43.04922,-86.241,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,14,7207,43.04918,-86.24094,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,9,7208,43.04922,-86.24099,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,5,7209,43.04919,-86.24092,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,6,7210,43.04899,-86.24095,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,11,7211,43.04887,-86.24099,Multistem
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,7,7212,43.0489,-86.24088,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,10,7213,43.04877,-86.24097,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,14,7214,43.04871,-86.24078,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,5,7215,43.04872,-86.24074,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,10,7216,43.04913,-86.24072,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,8,7217,43.04906,-86.24072,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,7,7218,43.04906,-86.24072,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,12,7219,43.04932,-86.24057,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,8,7220,43.04932,-86.24057,Split at bottom
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,5,7221,43.0493,-86.24054,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,6,7222,43.04926,-86.24054,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,18,7223,43.04925,-86.24052,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,8,7224,43.04919,-86.24049,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,11,7225,43.04922,-86.2405,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,10,7226,43.04927,-86.24071,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,9,7227,43.04948,-86.24088,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,No,10,7228,43.04935,-86.24062,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,12,7229,43.04937,-86.24052,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,17,7230,43.04937,-86.24052,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,7,7231,43.0494,-86.24038,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,7,7232,43.04926,-86.24049,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",ND - Out of Reach,ND - Out of Reach,11,7233,43.0493,-86.24046,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,6,7234,43.04927,-86.24041,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,6,7235,43.04923,-86.24029,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,7,7236,43.04921,-86.24022,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,21,7237,43.04924,-86.23999,Multistem
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,8,7238,43.04929,-86.23992,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,9,7239,43.04929,-86.23988,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,5,7240,43.04932,-86.23987,
Ottawa,11/12/2019,69.3071,70-03-29-325-016,"1304 Lake Ave Cemetery, Grand Haven, MI 49417",No,Yes,5,7241,43.04929,-86.23986,
