County,Parcel,Address,HWA,EHS,DBH,Tag,Latitude,Longitude,Notes
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,No,10,1515,43.052820,-86.22836,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,27,1516,43.052850,-86.22856,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,10,1517,43.052920,-86.22847,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,4.5,1518,43.053020,-86.22841,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1519,43.052990,-86.22841,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1520,43.053060,-86.22832,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1521,43.053060,-86.22832,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1522,43.053060,-86.22832,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1523,43.053200,-86.22807,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1524,43.053280,-86.22843,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,16,1525,43.053280,-86.22843,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,23,1526,43.053220,-86.22842,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1527,43.053040,-86.22852,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,29,1528,43.053040,-86.22858,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,29,1529,43.052820,-86.22851,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,17,1530,43.052810,-86.22844,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,10,1531,43.052790,-86.22862,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1532,43.052780,-86.2287,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1533,43.052780,-86.2287,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,4.5,1534,43.052760,-86.22878,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,10,1535,43.052760,-86.22878,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1536,43.052760,-86.22878,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,7,1537,43.052700,-86.22882,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,6,1538,43.052700,-86.22882,
